,urutan,error
0,0,0.031359125419529156
1,1,0.01415894488925439
2,2,0.01255023750687604
3,3,0.012305335640495818
4,4,0.012338428555803162
5,5,0.012368052408234737
6,6,0.012418117321383745
7,7,0.012251613952174915
8,8,0.012418337543016376
9,9,0.012449032424882938
10,10,0.01249523310110488
11,11,0.01222754281563538
12,12,0.012425447098876507
13,13,0.0123524396528309
14,14,0.012378841882261002
15,15,0.012461414802561563
16,16,0.012285513770647849
17,17,0.012446689292293991
18,18,0.012332768062424879
19,19,0.012129444988540562
20,20,0.012155037759291037
21,21,0.011964744416194932
22,22,0.011918967816562886
23,23,0.011768988488362088
24,24,0.011661638185766819
25,25,0.01164174716522773
26,26,0.011431376927349848
27,27,0.011300795069482138
28,28,0.011229212677873752
29,29,0.010897547608652565
30,30,0.010993484974140573
31,31,0.010936973492286093
32,32,0.01066921762785197
33,33,0.01047144509392671
34,34,0.01039144542310283
35,35,0.010350085177941414
36,36,0.010172480376217931
37,37,0.009942975704358446
38,38,0.009873308975660926
39,39,0.009514577253237804
40,40,0.009618807846350845
41,41,0.009286103561515414
42,42,0.009195428310592328
43,43,0.008817647128952747
44,44,0.008814508374191373
45,45,0.008677206495967406
46,46,0.008369862399626572
47,47,0.008285856895758137
48,48,0.008141595989967651
49,49,0.008031292252966756
50,50,0.00786688302773412
51,51,0.0076967661664500385
52,52,0.007563431314226865
53,53,0.007280046750696805
54,54,0.007302749674973044
55,55,0.007225989541201921
56,56,0.0071495367865482854
57,57,0.007000411939317789
58,58,0.006815963312371347
59,59,0.006595519838724819
60,60,0.006584721936471166
61,61,0.006455455574058692
62,62,0.006179519580712422
63,63,0.006375787493149047
64,64,0.005990012445818222
65,65,0.005883025301837006
66,66,0.005752362602371761
67,67,0.005802564236776619
68,68,0.0056506821525151045
69,69,0.0056129464500920155
70,70,0.0054550001653672344
71,71,0.005288946839131488
72,72,0.005233573416793285
73,73,0.005088167492315294
74,74,0.0051258742173320585
75,75,0.0050272101485313095
76,76,0.004873102137607096
77,77,0.004655423100081689
78,78,0.004619557862608733
79,79,0.00448064690011576
80,80,0.004335510866222023
81,81,0.004371443400289408
82,82,0.004275114906360417
83,83,0.00424716673593061
84,84,0.004155812698158126
85,85,0.0041270179250276085
86,86,0.004088550680908961
87,87,0.0040433716766841155
88,88,0.004043665499510115
89,89,0.0038055055519257263
90,90,0.0038230025057774462
91,91,0.0038420318328382147
92,92,0.0037647374616290264
93,93,0.003720493713116089
94,94,0.0036218167037704225
95,95,0.003453118959069242
96,96,0.003421933558191065
97,97,0.0035107282294307668
98,98,0.0033948992491020717
99,99,0.003424980652158743
