,I,Z,C,O,F,I_in,C_bar,h,W
10,"[1.0, 0.000990588763188791, 0.22580645161290322, 0.2480295854369454]","[0.29373237840657135, 0.8823001078172592, -0.16210697464650015, 0.9271877902601158]",[0.37174125445236383],[0.7164614576622612],[0.4595854740531179],[0.7073056585171489],[0.28561316799467285],[0.25472820792472084],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
11,"[1.0, 0.0009906382678746073, 0.20381231671554254, 0.2522781148912787]","[0.2807119534557143, 0.8892093210897069, -0.16081482946219688, 0.9046426516344688]",[0.364860986413147],[0.7118796695422488],[0.45989526700602495],[0.7087306874481573],[0.2735887983455486],[10967.080465497416],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
12,"[1.0, 0.0009903412397597082, 0.22727272727272727, 0.23850209737525488]","[0.2948957970137427, 0.8820365529368484, -0.1616380652847262, 0.9274543547629026]",[0.3743626719253566],[0.7164017477199174],[0.4597647779066421],[0.707269720663699],[0.2868050585589725],[0.25638909188805337],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
13,"[1.0, 0.0009903907444455248, 0.22727272727272727, 0.24741154340929636]","[0.2950952137221441, 0.8821696498043914, -0.16126374688693523, 0.9266203280916829]",[0.3750572743208377],[0.7163061825656003],[0.4598169732121229],[0.707285189205993],[0.2869077785867867],[0.2567607486445455],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
14,"[1.0, 0.0009905392585029744, 0.218475073313783, 0.25202667472032353]","[0.2898602563350735, 0.8849154961214966, -0.16079742001209169, 0.9177147432966395]",[0.372140603268592],[0.7145321863740002],[0.4599112548526695],[0.707846966053785],[0.2820540091176786],[0.2542919393566211],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
15,"[1.0, 0.000990588763188791, 0.22580645161290322, 0.2517885107310408]","[0.2939835934953115, 0.882467758209321, -0.16163531232119666, 0.9261369243535494]",[0.3732409355268519],[0.7162676403394997],[0.4596917486504013],[0.707337142515558],[0.2858224525475818],[11082.805623133332],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
16,"[1.0, 0.0009902917350738916, 0.24486803519061584, 0.23793625830292037]","[0.30547801739592295, 0.8766198810330068, -0.16236031873503942, 0.9447965339909355]",[0.38086126155831435],[0.7199122429259388],[0.4595851996194977],[0.706146942897923],[0.29648669853669324],[0.2617151000034015],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
17,"[1.0, 0.0009903412397597082, 0.22727272727272727, 0.2527453662948678]","[0.2958407737369087, 0.8826671906860476, -0.1598638489315552, 0.9235013922802193]",[0.3786912272644748],[0.7156720118957014],[0.4601646734322657],[0.7073881759971622],[0.2875917548977583],[0.2587970529878625],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
18,"[1.0, 0.0009903907444455248, 0.22727272727272727, 0.2540819360330478]","[0.29547870796799847, 0.8824255777464323, -0.16054372728680988, 0.9250161209942761]",[0.37734241949245323],[0.7160193254446978],[0.4599741775639104],[0.7073317578041176],[0.2872170674638994],[0.2580680180567156],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
19,"[1.0, 0.0009905392585029744, 0.218475073313783, 0.25557018824855754]","[0.2900677336060318, 0.8850539577322003, -0.16040787648364135, 0.9168468384604656]",[0.3733517803517401],[0.7143758931713408],[0.4599966017147953],[0.7078722199548714],[0.2822224333182719],[11072.474463127079],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
