,0
0,0.0
1,0.6913123784021533
2,0.6977274742519581
3,0.6990028369526505
4,0.6959667700504066
5,0.6910406703020149
6,0.6975869095160322
7,0.6989316393128838
8,0.69592992437951
9,0.6910213396581166
10,0.6975769495716662
11,0.6989266043644977
12,0.6959273215444922
13,0.6910199748706571
14,0.6975762465752036
15,0.6989262490346183
16,0.6959271378693522
17,0.6910198785650085
18,0.6975761969695422
19,0.6989262239616566
20,0.695927124908846
21,0.6910198717694972
22,0.6975761934692765
23,0.698926222192464
24,0.6959271239943301
25,0.6910198712899941
26,0.6975761932222916
27,0.6989262220676268
28,0.6959271239298004
29,0.6910198712561595
30,0.697576193204864
31,0.698926222058818
32,0.6959271239252469
