Date,Open,High,Low,Close
18/05/2012,	42.05,	45.00,	38.00,	38.23
21/05/2012, 36.53,36.66,33.00,34.03
22/05/2012,	32.61,	33.59,	30.94,	31.00
23/05/2012,	31.37,	32.50,	31.36,	32.00
24/05/2012,	32.95,	33.21,	31.77,	33.03
25/05/2012,	32.90,	32.95,	31.11,	31.91
29/05/2012,	31.48,	31.69,	28.65,	28.84
31/05/2012,	28.55,	29.67,	26.83,	29.60
01/06/2012,	28.89,	29.15,	27.39,	27.72
02/06/2012,	31.48,	31.69,	28.65,	28.84

