Date,Close
18/05/2012,	38.23
21/05/2012, 34.03
22/05/2012,	31.00
23/05/2012,	32.00
24/05/2012,	33.03
25/05/2012,	31.91
29/05/2012,	28.84
30/05/2012, 28.19
31/05/2012,	29.60
01/06/2012,	27.72

