,urutan,error
0,0,0.01535728649757615
1,1,0.014132839759424668
2,2,0.01297599944231444
3,3,0.01220667393853471
4,4,0.010927997333478072
5,5,0.009796758451312915
6,6,0.009097650940145426
7,7,0.008585678436727067
8,8,0.007913147712000109
9,9,0.0075908699845333915
10,10,0.007086985678129047
11,11,0.006600186047838068
12,12,0.00612140470713107
13,13,0.005771910813814601
14,14,0.005712062931296942
15,15,0.0054018613923445405
16,16,0.005092608807898203
17,17,0.004955515929318545
18,18,0.004659761714339829
19,19,0.004413956881701891
20,20,0.004190052282887174
21,21,0.00405902995732487
22,22,0.003976192071293452
23,23,0.0037959535385159084
24,24,0.003668519711906674
25,25,0.003568373971133079
26,26,0.003527060128489111
27,27,0.0034510649308811077
28,28,0.0033693331291480945
29,29,0.003331528491380431
30,30,0.0032258524149608907
31,31,0.003136782923587218
32,32,0.0030731844123831537
33,33,0.0029869388714630434
34,34,0.0028557488022002368
35,35,0.002847360016486966
36,36,0.0026738216432822654
37,37,0.002652310580259173
38,38,0.002624600376723816
39,39,0.0025837645949635863
40,40,0.0025015113149802243
41,41,0.002437059851021465
42,42,0.0024092721588334885
43,43,0.002370274159716627
44,44,0.0022957212459434303
45,45,0.0022748567494883186
46,46,0.002200555808105861
47,47,0.002179143534376231
48,48,0.002144881704204715
49,49,0.0021352284311587284
50,50,0.0020776700343310946
51,51,0.0020540320046178685
52,52,0.0020259228132669996
