,I,Z,C,O,F,I_in,C_bar,h,W
10,"[1.0, 0.000990588763188791, 0.22580645161290322, 0.3037197346623086]","[0.3735600504674258, 0.8890778808728402, -0.14868755538988299, 0.8977946181968706]",[0.4693255526236954],[0.7104474643277849],[0.4629228364593635],[0.7087075978858329],[0.3571515630131913],[0.31094850661246287],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
11,"[1.0, 0.0009906382678746073, 0.20381231671554254, 0.3081860650688326]","[0.36056456959755545, 0.8960452067776802, -0.14734440981215968, 0.8753302712546644]",[0.4629326189990897],[0.7058276935650895],[0.4632443334266961],[0.7101401964179275],[0.345737783098619],[11929.680675432386],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
12,"[1.0, 0.0009903412397597082, 0.22727272727272727, 0.29227206778296977]","[0.3746770512223998, 0.8887781276555609, -0.14831070227062015, 0.8982481786501026]",[0.47176691268743376],[0.7104119783174735],[0.4630864426058938],[0.7086662547624721],[0.35825759386073547],[0.3123816473820656],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
13,"[1.0, 0.0009903907444455248, 0.22727272727272727, 0.3022466254628338]","[0.37487521198908347, 0.8889084460514326, -0.14794239716916457, 0.8974234865394277]",[0.47243444526842576],[0.7103262402679188],[0.4631324601559394],[0.7086797738649022],[0.35834436930405117],[0.3126951024539838],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
14,"[1.0, 0.0009905392585029744, 0.218475073313783, 0.3073748010905478]","[0.36965063374839696, 0.8916780648348441, -0.14745442753589133, 0.8885479932845353]",[0.4697274833091583],[0.7085409454470684],[0.4632298066681606],[0.7092441998037334],[0.35373676876310584],[0.31034456918956815],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
15,"[1.0, 0.000990588763188791, 0.22580645161290322, 0.3075414392877575]","[0.3737809393642342, 0.8892231295368797, -0.1482769065202446, 0.8968751604826934]",[0.47073329869121233],[0.7102808746348102],[0.4630126774382624],[0.7087339808658334],[0.357321116107888],[12039.05947744452],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
16,"[1.0, 0.0009902917350738916, 0.24486803519061584, 0.29158086818469753]","[0.3852137899053202, 0.8832965557220626, -0.1491242721464709, 0.9156353960578949]",[0.47779867809303117],[0.7139764343749757],[0.46288385413558897],[0.7075331535962731],[0.3674064994646001],[0.31741351585950806],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
17,"[1.0, 0.0009903412397597082, 0.22727272727272727, 0.30729610395322704]","[0.3755840515592631, 0.8893745387432896, -0.14662452126072714, 0.8944727582077907]",[0.47585658205134085],[0.7097189026144886],[0.4634600509742205],[0.7087759604359785],[0.3589618355417822],[0.3143828521609368],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
18,"[1.0, 0.0009903907444455248, 0.22727272727272727, 0.3090898933579947]","[0.37520927486022965, 0.8891281138864403, -0.14732134947321218, 0.8960329382215468]",[0.47458186381418854],[0.7100845176594243],[0.4632627513048253],[0.7087180338445952],[0.35858999167178757],[0.3138004170730785],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
19,"[1.0, 0.0009905392585029744, 0.218475073313783, 0.3110067082497535]","[0.36983374313852296, 0.8917984710420965, -0.14711401357592374, 0.8877857940806719]",[0.47086232481557777],[0.7084069730482252],[0.4633017708252996],[0.7092653079442286],[0.35387294897828364],[12026.297800170089],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
20,"[1.0, 0.000990242230388075, 0.2404692082111437, 0.29496825509979757]","[0.38305106950040946, 0.8849769481243842, -0.1480442794737349, 0.9093259065903444]",[0.47905705989284525],[0.7126848722562354],[0.46315310451867453],[0.7078809704850578],[0.3655356020331312],[0.3175591947201963],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
21,"[1.0, 0.0009902917350738916, 0.24486803519061584, 0.3073615081117708]","[0.3862452244075649, 0.8839747902809737, -0.14720675877856176, 0.9113420140750969]",[0.48251764745262604],[0.7131812427758187],[0.4633156519967672],[0.7076602409664857],[0.36821423234921746],[0.31972398446473593],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
