,I,Z,C,O,F,I_in,C_bar,h,W
211,"[1.0, 0.0005443535252385779, 0.23020527859237536, 0.30455534651685773]","[0.3756446292559681, 0.8872114215563188, -0.14909709016093078, 0.9029962467156798]",[0.4681198812822452],[0.711538627767903],[0.462808886585847],[0.7083185667139664],[0.3589460084365468],[12022.839390278365],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
212,"[1.0, 0.000540640673802338, 0.18035190615835778, 0.28661111208234635]","[0.3450930683463396, 0.9022827491313745, -0.1480815774875471, 0.8566233254763557]",[0.44889041049065864],[0.7017757981997432],[0.46314257418835925],[0.7114462755509263],[0.3322005050210046],[0.2955035834978317],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
213,"[1.0, 0.0005442050111811284, 0.1774193548387097, 0.2854933591391589]","[0.3419694015279297, 0.9022981696526529, -0.1504948477463558, 0.8594293235871657]",[0.44190139877724316],[0.7024474327432881],[0.46249734268585735],[0.7114362194833636],[0.3293313582834113],[0.2917045169350021],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
214,"[1.0, 0.0005442545158669448, 0.20381231671554254, 0.28639479014908925]","[0.3574474575194547, 0.8938607913446366, -0.1523234428012038, 0.8868719125873243]",[0.4475986369877499],[0.7081947115177839],[0.46201934710746945],[0.709694106830932],[0.34301480584305133],[0.2974057321178904],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
215,"[1.0, 0.0005443040205527614, 0.22727272727272727, 0.29460395357524083]","[0.3724664015434228, 0.8871898741613117, -0.15160518771619402, 0.9060177515255535]",[0.45915441540068747],[0.7121586041074611],[0.462185278356865],[0.7083140821456415],[0.35617390711369956],[11939.007153316466],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
216,"[1.0, 0.0005405911691165216, 0.18035190615835778, 0.277154349726856]","[0.34370326930283546, 0.9013688518855594, -0.15066522667584742, 0.8624082533524421]",[0.4410140936623997],[0.7029890024504104],[0.4624981419867625],[0.7112580135842151],[0.3309594788556402],[0.29144208866483784],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
217,"[1.0, 0.000540640673802338, 0.18035190615835778, 0.28166374066994454]","[0.3431703956400977, 0.9010184681014007, -0.15165596888933702, 0.8646265174752967]",[0.4388040180716865],[0.7035346796219564],[0.462207584586383],[0.7111731039317503],[0.3303995030331661],[0.29034927176983527],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
218,"[1.0, 0.0005442050111811284, 0.1774193548387097, 0.2851894090020944]","[0.3412958700724754, 0.9018552793783712, -0.1517469927606346, 0.8622329216919429]",[0.4366001491441338],[0.7030783305336251],[0.4621618920198052],[0.7113382168910907],[0.32868403123440965],[0.28885820222427766],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
219,"[1.0, 0.0005442545158669448, 0.20381231671554254, 0.2861351921228093]","[0.3570747257104767, 0.8936156961946253, -0.1530163789254123, 0.8884234217036079]",[0.4448007514501874],[0.7085392673119637],[0.4618341270624419],[0.7096397968976594],[0.3426610634879246],[11770.209084732018],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
220,"[1.0, 0.0005405416644307051, 0.21114369501466276, 0.27069053332168785]","[0.3613699143608445, 0.8912680466649849, -0.1535254511824809, 0.8960521757022695]",[0.4475219248402995],[0.7099685587027906],[0.4617854720389326],[0.7091786893677784],[0.34659469440517165],[0.29815021593967084],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
221,"[1.0, 0.0005405911691165216, 0.18035190615835778, 0.288527589851501]","[0.3441167696647134, 0.9016407549825932, -0.1498964987829849, 0.8606870437170229]",[0.44264804124293533],[0.7027138049419539],[0.4626441909452602],[0.7113006813858026],[0.331240805749087],[0.2922474653594406],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
222,"[1.0, 0.000540640673802338, 0.18035190615835778, 0.2872141248052864]","[0.3433351409953336, 0.9011267987739716, -0.15134969503454726, 0.8639407592052565]",[0.43966287977019025],[0.7034359255811858],[0.4622600111969627],[0.7111884239313702],[0.33050054209078594],[0.2907932953362954],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
223,"[1.0, 0.0005442050111811284, 0.1774193548387097, 0.2881281357640631]","[0.3413855635345393, 0.9019142586015285, -0.15158024595107256, 0.8618595695370928]",[0.43705410198942024],[0.7030238448702889],[0.46219079532386803],[0.7113466603612905],[0.3287398081418813],[11654.025656121932],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
224,"[1.0, 0.0005404921597448885, 0.21114369501466276, 0.27334783387773576]","[0.3617604635959488, 0.8915248429792769, -0.15279930065365294, 0.8944263419586425]",[0.4500140699153815],[0.7096325996261478],[0.46196653047612274],[0.7092318184619149],[0.34693937865390795],[0.29946485814135415],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
225,"[1.0, 0.0005405416644307051, 0.21114369501466276, 0.2897665380652144]","[0.3629237549484914, 0.8922897968423228, -0.15063674609075817, 0.8895842602227843]",[0.45488408579353085],[0.7087144001113908],[0.4624605276328117],[0.7093767613991752],[0.3478793560554763],[0.30187860978594294],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
226,"[1.0, 0.0005405911691165216, 0.18035190615835778, 0.2968141563480596]","[0.34469117488962525, 0.9020184633814362, -0.14882863679565725, 0.8582960619939037]",[0.4465238525317893],[0.702256737245136],[0.4628868915068462],[0.7113715798740179],[0.33170819729582984],[0.2942894266963787],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
227,"[1.0, 0.000540640673802338, 0.18035190615835778, 0.29162021795103543]","[0.343648463250219, 0.9013328283191118, -0.15076720568510352, 0.8626365444237969]",[0.4417106309133991],[0.7031860072941217],[0.4623929152324914],[0.7112272637571404],[0.33075668348066833],[11701.463366822045],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
228,"[1.0, 0.000540442655059072, 0.23313782991202345, 0.2772798221728881]","[0.37563546759563676, 0.8851358601303516, -0.1525073473907419, 0.9132296432883593]",[0.4618774346397603],[0.7134905907707082],[0.46203974211902565],[0.7079127000149156],[0.35908626094900425],[0.3080159564397105],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
229,"[1.0, 0.0005404921597448885, 0.21114369501466276, 0.298209765761155]","[0.36412690786785873, 0.8930809323707541, -0.14839990494222005, 0.8845759353858526]",[0.4614349152165077],[0.7076784749579367],[0.4630171368258542],[0.7095399839688012],[0.34893741957105306],[0.30522205822133974],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
230,"[1.0, 0.0005405416644307051, 0.21114369501466276, 0.3001107764538316]","[0.36378419082928726, 0.892855588803725, -0.14903713186410195, 0.88600266594809]",[0.4608857951457197],[0.7080169159231406],[0.4628352747294672],[0.7094866664134646],[0.3485918413953613],[0.305035615216127],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
231,"[1.0, 0.0005405911691165216, 0.18035190615835778, 0.30233805310537687]","[0.34516155973094975, 0.9023277716842707, -0.14795415642939205, 0.8563380687346821]",[0.4496998353771754],[0.701869484674246],[0.46309240769347215],[0.7114316047702374],[0.3321038322679621],[11771.019836061325],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
232,"[1.0, 0.0005402941410016224, 0.24193548387096775, 0.2877662331180871]","[0.38250040697386645, 0.8834448843535054, -0.14994576380217475, 0.9152770762661495]",[0.47314001134033823],[0.7139045040794947],[0.4626789368122689],[0.7075636453517093],[0.3650557729145375],[0.3147067127598552],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
233,"[1.0, 0.000540442655059072, 0.23313782991202345, 0.3046768813683147]","[0.37836874863815634, 0.8869331683047621, -0.1474259748693866, 0.9018522659014887]",[0.4751379783173092],[0.7112375983294474],[0.463260361133686],[0.7082716557842943],[0.3613845286107432],[0.3146442166600085],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
234,"[1.0, 0.0005404921597448885, 0.21114369501466276, 0.30940700036655283]","[0.3651097907718054, 0.8937272411294479, -0.14657265260258473, 0.8804846511193078]",[0.4684089211887894],[0.7068737422538627],[0.46344865642795646],[0.7096664733757355],[0.3497569795246856],[0.3088604167486105],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
235,"[1.0, 0.0005405416644307051, 0.21114369501466276, 0.30609737662801906]","[0.3643221508119629, 0.8932093321105155, -0.14803702428971321, 0.8837633888131293]",[0.46456985026407205],[0.7075756537850943],[0.4630721228139508],[0.7095561100316077],[0.3490419007702277],[11958.616510249569],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
236,"[1.0, 0.0005402446363158059, 0.23460410557184752, 0.29030481333087893]","[0.3784351869032533, 0.8859426175857649, -0.14900228595385767, 0.9066789882227052]",[0.47336530770070434],[0.7121444862746654],[0.46291386915269883],[0.7080803100580828],[0.3615277838776495],[0.3140608120177325],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
237,"[1.0, 0.0005402941410016224, 0.24193548387096775, 0.303941903407758]","[0.38359749647032515, 0.8841662912960668, -0.14790619292232338, 0.9107104030868425]",[0.4781908943247264],[0.7130526808174268],[0.4631413826535588],[0.707699751637476],[0.36592259146487943],[0.3171960201117237],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
238,"[1.0, 0.000540442655059072, 0.23313782991202345, 0.311903986431611]","[0.3787704546975398, 0.8871973158889325, -0.14667917346109408, 0.9001801504603393]",[0.47779192522760616],[0.7109375327305499],[0.4634224347582737],[0.7083192862539672],[0.36168928445552895],[0.3160112023264296],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
239,"[1.0, 0.0005404921597448885, 0.21114369501466276, 0.3132309779312684]","[0.3653290070254378, 0.893871389922963, -0.14616511330087611, 0.8795721558405156]",[0.4698122857706081],[0.7067075302330899],[0.46353766170102334],[0.7096925560732945],[0.349925935788999],[12003.360316258653],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
240,"[1.0, 0.0005401951316299893, 0.2653958944281525, 0.2980237240238781]","[0.39819110902904975, 0.8772156464840125, -0.1479783891730708, 0.931626222125142]",[0.4900488664653351],[0.7172284127987169],[0.463170062137096],[0.7062736298902744],[0.3785805664538806],[0.3258716720192259],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
241,"[1.0, 0.0005402446363158059, 0.23460410557184752, 0.31561944426265304]","[0.3808255426333146, 0.8875144302996992, -0.14455843706527027, 0.8967290493738607]",[0.4848775518704975],[0.710182353011014],[0.4639744845869327],[0.7083920474656105],[0.36352051274208935],[0.3197176543976935],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
242,"[1.0, 0.0005402941410016224, 0.24193548387096775, 0.3143572256593799]","[0.3844455318735768, 0.8847239291455025, -0.1463296321046889, 0.9071804262311411]",[0.4842326520176443],[0.7123734150752331],[0.4635096720974321],[0.7078081075135538],[0.36661239272869955],[0.32032095619373846],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
243,"[1.0, 0.000540442655059072, 0.23313782991202345, 0.31748636269065056]","[0.37923725977077305, 0.8875042702638858, -0.14581134814966173, 0.8982370581102804]",[0.48098471689605327],[0.7105607791104793],[0.46362589565759327],[0.7083790721992757],[0.3620717482734509],[12140.986690845186],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
244,"[1.0, 0.0005401456269441728, 0.22580645161290322, 0.30034491845636263]","[0.3745907237360012, 0.8896196761417168, -0.1459481274376364, 0.892057923124845]",[0.47811913941217854],[0.7091338495225994],[0.4636755257189955],[0.7088404411162074],[0.35818537665272],[0.31544483747435753],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
245,"[1.0, 0.0005401951316299893, 0.2653958944281525, 0.3051059338933332]","[0.39797875713511355, 0.8770760114487249, -0.14837316712013127, 0.932510144267997]",[0.4885513566952814],[0.7174903963952772],[0.46302632314772024],[0.7062312029471284],[0.37831410036558133],[0.3251060653301991],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
246,"[1.0, 0.0005402446363158059, 0.23460410557184752, 0.3196752650088754]","[0.38076962527514674, 0.8874776610383744, -0.14466239158836564, 0.8969618073217098]",[0.4840903653333162],[0.7102744541513265],[0.4639246432905225],[0.708377401296663],[0.3634269341664455],[0.3192966522077098],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
247,"[1.0, 0.0005402941410016224, 0.24193548387096775, 0.316453584619836]","[0.3844135420381338, 0.8847028937701256, -0.14638910358539442, 0.9073135850335905]",[0.48381711087059553],[0.7124238414755767],[0.46348226805170184],[0.7078000442518725],[0.36656106922020326],[12182.682201124793],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
248,"[1.0, 0.0005400961222583562, 0.2287390029325513, 0.2992322077913915]","[0.376196193838002, 0.8886070043195771, -0.14636372215357674, 0.8955827586170739]",[0.47875969644221583],[0.7098611283977095],[0.463571758578518],[0.7086312730525358],[0.3595832763013826],[0.31613290623868107],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
249,"[1.0, 0.0005401456269441728, 0.22580645161290322, 0.30580135296489436]","[0.374132253086799, 0.8893182021868911, -0.1468004584356068, 0.8939663231450525]",[0.475381841858865],[0.7096126276262101],[0.46341734727909223],[0.7087646388011872],[0.35769842093706106],[0.3140658742509895],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
250,"[1.0, 0.0005401951316299893, 0.2653958944281525, 0.3086221745602997]","[0.39783725354493343, 0.8769829637323054, -0.14863623280698482, 0.9330991578827813]",[0.48711728426363343],[0.7176539580844586],[0.46293656882488043],[0.7062047082571813],[0.37814767801817356],[0.3243449212482219],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
251,"[1.0, 0.0005402446363158059, 0.23460410557184752, 0.32148452722217274]","[0.38069030692527495, 0.8874255041191307, -0.1448098502935657, 0.8972919727112753]",[0.48333165008106377],[0.7103661235166261],[0.46387508810398587],[0.7083628399528574],[0.36333389372262803],[12162.224750791722],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
252,"[1.0, 0.0005399476082009067, 0.2155425219941349, 0.3037973993615192]","[0.36889669077243037, 0.8931146720490786, -0.14463208891299933, 0.880031528882222]",[0.47602521066128034],[0.7066450233155317],[0.464003893117532],[0.7095615476451324],[0.3532138226129848],[0.3131502601010776],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
253,"[1.0, 0.0005400961222583562, 0.2287390029325513, 0.3027653108631692]","[0.37548514240935127, 0.8881394422484765, -0.1476856195854946, 0.8985425349150048]",[0.4747588093482963],[0.7105542006328915],[0.46319752445466084],[0.7085213435049296],[0.3588781591123752],[0.3141268015537842],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
254,"[1.0, 0.0005401456269441728, 0.22580645161290322, 0.3086296848843373]","[0.3739017753409628, 0.8891666482375653, -0.14722893368797105, 0.8949256947767515]",[0.47328099781376076],[0.7098546355591095],[0.463286753754412],[0.7087262892663734],[0.3574520169600317],[0.312955961321868],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
255,"[1.0, 0.0005401951316299893, 0.2653958944281525, 0.3100614178745019]","[0.3977085898405336, 0.876898359067044, -0.14887542819226096, 0.9336347250265101]",[0.48600974387270557],[0.71778564029482],[0.46286432507853636],[0.7061833818750337],[0.37801370863959716],[12245.15418681081],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
