,I,Z,C,O,F,I_in,C_bar,h,W
10,"[1.0, 0.000990588763188791, 0.22580645161290322, 0.24696013785911966]","[0.29308218786740814, 0.8787214233406578, -0.1674092547631993, 0.9261612405452596]",[0.369707055704547],[0.7162563493424504],[0.45826676658124565],[0.7065635748413427],[0.2850097869735932],[0.2533795820949258],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
11,"[1.0, 0.0009906382678746073, 0.20381231671554254, 0.2510786641006012]","[0.2802523841817956, 0.8856961537085087, -0.16606237288731873, 0.9036881150801888]",[0.3629413681045242],[0.7116858742789144],[0.45859090415079284],[0.7080045525088476],[0.27316013857005195],[10945.445455939562],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
12,"[1.0, 0.0009903412397597082, 0.22727272727272727, 0.23777311666293127]","[0.2942158229887477, 0.8784500665633775, -0.1669501790443223, 0.926427788939179]",[0.3722439674484789],[0.7162035184788903],[0.45843929093508656],[0.7065245899461117],[0.2861609416608157],[0.254987801745129],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
13,"[1.0, 0.0009903907444455248, 0.22727272727272727, 0.24642387332948118]","[0.2943980344081514, 0.8785768884862453, -0.16659124033758022, 0.9256221454565293]",[0.37291623041089783],[0.7161094048809125],[0.45849029705465644],[0.7065396401956724],[0.28625667669739163],[0.2553494205635712],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
14,"[1.0, 0.0009905392585029744, 0.218475073313783, 0.2508689981063006]","[0.2892387849834981, 0.8813477966306442, -0.16610658262908676, 0.9167541922274492]",[0.37004653354854494],[0.7143397859795693],[0.45859064989053083],[0.7071079466736507],[0.28147560951380707],[0.2529140805673109],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
15,"[1.0, 0.000990588763188791, 0.22580645161290322, 0.2505636729349595]","[0.29331060597718495, 0.8788803891089667, -0.16695917411458985, 0.9251510823578791]",[0.37113717941160795],[0.7160693024414885],[0.4583684974609569],[0.7065935795666363],[0.28520083552514547],[11059.148767298215],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
16,"[1.0, 0.0009902917350738916, 0.24486803519061584, 0.2371845639471985]","[0.30462930817285405, 0.8729744219270932, -0.16773280678286823, 0.9437444762493454]",[0.3785994972627346],[0.7197103359398871],[0.4582448203886018],[0.7053878948671307],[0.29569261669828645],[0.26022158470925727],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
17,"[1.0, 0.0009903412397597082, 0.22727272727272727, 0.25166426888971527]","[0.29509253131872093, 0.8790602047586075, -0.1652226914375769, 0.9225506265796248]",[0.3764379049721135],[0.7154846044945682],[0.4588300717137677],[0.7066398346558456],[0.2868940931891368],[0.25732321275694053],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
18,"[1.0, 0.0009903907444455248, 0.22727272727272727, 0.25286039478835726]","[0.294748952294566, 0.8788211070006255, -0.16589978312308676, 0.9240702432172264]",[0.37511270392510954],[0.7158304941598665],[0.45864191356321404],[0.706584355431939],[0.2865411524081711],[0.2566080919260191],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
19,"[1.0, 0.0009905392585029744, 0.218475073313783, 0.25426264442890206]","[0.2894272679209671, 0.8814789698331419, -0.1657351912239536, 0.9159206436850333]",[0.37120141092699566],[0.7141889277572162],[0.4586723653569135],[0.7071320191473841],[0.2816293876140583],[11048.451159933946],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
