,I,Z,C,O,F,I_in,C_bar,h,W
0,"[1.0, 0.0, 0.030303030303030304, 0.0]","[-0.24482755736363637, 0.8565179457272727, -0.20902759272727273, 0.8703811353939394]",[-0.16849918698696104],[0.7048249981564163],[0.44793254383501113],[0.701932640408392],[-0.24005036564324234],[-0.11765109201506303],"[[-0.245714286, 0.850360602, 0.029262045, 0.184398087], [0.868020398, 0.860429754, -0.379580925, 0.079506914], [-0.206444161, -0.24856166, -0.085253247, 0.25112624], [0.842874383, -0.324206065, 0.907722829, -0.593738792]]"
1,"[1.0, 4.9652129731283174e-08, 0.020202020202020204, -0.11765109201506303]","[-0.2668177276545813, 0.8509980639521706, -0.2377117375294344, 0.9310662190822756]",[-0.2569481918056137],[0.717291548155153],[0.4408503338642477],[0.7007764672453523],[-0.26066124863551354],[-0.18035497291838865],"[[-0.245714286, 0.850360602, 0.029262045, 0.184398087], [0.868020398, 0.860429754, -0.379580925, 0.079506914], [-0.206444161, -0.24856166, -0.085253247, 0.25112624], [0.842874383, -0.324206065, 0.907722829, -0.593738792]]"
2,"[1.0, 1.986085189251327e-07, 0.026262626262626262, -0.18035497291838865]","[-0.27820273094671283, 0.8437123095976874, -0.2539750507443963, 0.9737972477697512]",[-0.3019108373288082],[0.7258757224608522],[0.43684534668839314],[0.6992464947952313],[-0.271240852560971],[-0.21272536811586676],"[[-0.245714286, 0.850360602, 0.029262045, 0.184398087], [0.868020398, 0.860429754, -0.379580925, 0.079506914], [-0.206444161, -0.24856166, -0.085253247, 0.25112624], [0.842874383, -0.324206065, 0.907722829, -0.593738792]]"
3,"[1.0, 2.97912778387699e-07, 0.01818181818181818, -0.21272536811586676]","[-0.2844081464218289, 0.8442060454209757, -0.26141521593361183, 0.985681640944104]",[-0.3250420445867823],[0.7282341222556613],[0.43501584865203535],[0.6993503176351037],[-0.2769799921217927],[-0.22870835163378367],"[[-0.245714286, 0.850360602, 0.029262045, 0.184398087], [0.868020398, 0.860429754, -0.379580925, 0.079506914], [-0.206444161, -0.24856166, -0.085253247, 0.25112624], [0.842874383, -0.324206065, 0.907722829, -0.593738792]]"
4,"[1.0, 3.475649081189822e-07, 0.0, -0.22870835163378367]","[-0.28788737296668854, 0.8498368018107594, -0.2638789157937005, 0.9786672907367027]",[-0.33748340330761567],[0.7268436976703291],[0.4344104249789579],[0.7005329068088426],[-0.2801891940762212],[-0.23639052772882008],"[[-0.245714286, 0.850360602, 0.029262045, 0.184398087], [0.868020398, 0.860429754, -0.379580925, 0.079506914], [-0.206444161, -0.24856166, -0.085253247, 0.25112624], [0.842874383, -0.324206065, 0.907722829, -0.593738792]]"
5,"[1.0, 3.972170378502654e-07, 0.01616161616161616, -0.23639052772882008]","[-0.2888309873810015, 0.843091417206687, -0.2671859543876261, 0.9978987485372137]",[-0.3428246187841116],[0.7306452469922174],[0.43359806913145216],[0.6991159044561679],[-0.2810584990179374],[-0.24111056442512205],"[[-0.245714286, 0.850360602, 0.029262045, 0.184398087], [0.868020398, 0.860429754, -0.379580925, 0.079506914], [-0.206444161, -0.24856166, -0.085253247, 0.25112624], [0.842874383, -0.324206065, 0.907722829, -0.593738792]]"
