,dE_dW_t,dE_dh_tminus1,dE_dc_tminus1,dE_do_t,dE_dc_t,dE_di_t,dE_dcbar_t,dE_df_t,dE_dzcbar_t,dE_dzi_t,dE_dzf_t,dE_dzo_t,dE_dz_t,dE_dI_t,dE_dh_tplus1,dE_dc_tplus1,dE_dW
0,"[[-0.20961181179134344, -8.326138297818478e-08, -0.0033876656451126215, 0.04955024680754979], [0.019246385939351098, 7.64499241215204e-09, 0.00031105270205011875, -0.004549663329075748], [0.026981652108683495, 1.0717571926917625e-08, 0.00043606710478680396, -0.006378206980967123], [0.032472138264147896, 1.2898486573949085e-08, 0.0005248022345720872, -0.007676105900745133]]",[-0.5496259636588073],[-0.14115341610105125],[0.16499838014253876],[-0.32553977093071035],[0.09149571938842861],[-0.22759003139067727],[0.10986426980567775],[-0.20961181179134344],[0.019246385939351098],[0.026981652108683495],[0.032472138264147896],"[[-0.20961181179134344], [0.019246385939351098], [0.026981652108683495], [0.032472138264147896]]","[0.09001060122672677, -0.17891973174844478, 0.013736196510186106, -0.5496259636588073]",[-0.5],0,"[[-0.20961181179134344, -8.326138297818478e-08, -0.0033876656451126215, 0.04955024680754979], [0.019246385939351098, 7.64499241215204e-09, 0.00031105270205011875, -0.004549663329075748], [0.026981652108683495, 1.0717571926917625e-08, 0.00043606710478680396, -0.006378206980967123], [0.032472138264147896, 1.2898486573949085e-08, 0.0005248022345720872, -0.007676105900745133]]"
1,"[[-0.321728985300127, -1.1182170521505201e-07, -0.0, 0.07358210590080186], [0.02929531413071401, 1.0182023164158334e-08, 0.0, -0.006700083005429491], [0.039802495824044444, 1.383395080399018e-08, 0.0, -0.009103163210827762], [0.035490207242122526, 1.2335150619231952e-08, 0.0, -0.008116906797487215]]",[-0.5680734910574604],[-0.21650571683922226],[0.17875421086982696],[-0.49838978162116954],[0.1396434312482594],[-0.3491384424429022],[0.1619976336193049],[-0.321728985300127],[0.02929531413071401],[0.039802495824044444],[0.035490207242122526],"[[-0.321728985300127], [0.02929531413071401], [0.039802495824044444], [0.035490207242122526]]","[0.1261791318154479, -0.26977860855999275, 0.008287588830353368, -0.5680734910574604]",[-0.5496259636588073],[-0.14115342],"[[-0.5313407970914704, -1.950830881932368e-07, -0.0033876656451126215, 0.12313235270835166], [0.04854170007006511, 1.7827015576310374e-08, 0.00031105270205011875, -0.01124974633450524], [0.06678414793272794, 2.4551522730907804e-08, 0.00043606710478680396, -0.015481370191794885], [0.06796234550627042, 2.5233637193181037e-08, 0.0005248022345720872, -0.01579301269823235]]"
2,"[[-0.3805694659605292, -1.133765069738241e-07, -0.006919444835645985, 0.0809567797401124], [0.03432485256296662, 1.0225812194781517e-08, 0.0006240882284175749, -0.007301766896979927], [0.043734564242976476, 1.3029085545200437e-08, 0.0007951738953268449, -0.009303451277974195], [0.03530867937372585, 1.0518906773427109e-08, 0.0006419759886131973, -0.007511051817460944]]",[-0.5774284543550409],[-0.2563951676676062],[0.1784084922362215],[-0.5893927047993464],[0.16324998673196503],[-0.41219197531323576],[0.17794404502146172],[-0.3805694659605292],[0.03432485256296662],[0.043734564242976476],[0.03530867937372585],"[[-0.3805694659605292], [0.03432485256296662], [0.043734564242976476], [0.03530867937372585]]","[0.14403806270472247, -0.3164051796178877, 0.0041566805966260735, -0.5774284543550409]",[-0.5680734910574604],[-0.21650572],"[[-0.9119102630519996, -3.084595951670609e-07, -0.010307110480758606, 0.20408913244846405], [0.08286655263303172, 2.805282777109189e-08, 0.0009351409304676937, -0.018551513231485166], [0.11051871217570441, 3.758060827610824e-08, 0.0012312410001136488, -0.02478482146976908], [0.10327102487999627, 3.5752543966608144e-08, 0.0011667782231852845, -0.023304064515693293]]"
3,"[[-0.4142943846201133, -8.228239412839997e-08, -0.010880458585982774, 0.07472005251840103], [0.03648068506553484, 7.245374830240082e-09, 0.000958078597680713, -0.006579472967038801], [0.04042665848147117, 8.029078766097143e-09, 0.0010617102227457075, -0.00729114889560668], [0.03367169392816972, 6.687485260774171e-09, 0.0008843071132650632, -0.006072857446531321]]",[-0.5833346214259139],[-0.27937954312658897],[0.16922136491467613],[-0.6395387869974809],[0.17346904583100597],[-0.44719525509358254],[0.16432833490855822],[-0.4142943846201133],[0.03648068506553484],[0.04042665848147117],[0.03367169392816972],"[[-0.4142943846201133], [0.03648068506553484], [0.04042665848147117], [0.03367169392816972]]","[0.15349918833266876, -0.34187564016483335, 0.0011475882609843695, -0.5833346214259139]",[-0.5774284543550409],[-0.25639517],"[[-1.326204647672113, -3.9074198929546085e-07, -0.02118756906674138, 0.2788091849668651], [0.11934723769856656, 3.529820260133198e-08, 0.0018932195281484068, -0.02513098619852397], [0.1509453706571756, 4.560968704220539e-08, 0.0022929512228593565, -0.03207597036537576], [0.136942718808166, 4.2440029227382316e-08, 0.002051085336450348, -0.029376921962224613]]"
4,"[[-0.4384990433019782, -2.177241138507338e-08, -0.008858566531353095, 0.05158989129203815], [0.036694332723184106, 1.8219517687744065e-09, 0.0007412996509734164, -0.004317128315646672], [0.027884593739209564, 1.3845294658433598e-09, 0.0005633251260446377, -0.003280652903814395], [0.029742992863265275, 1.476802940243477e-09, 0.0006008685426922278, -0.003499295590159386]]",[-0.5885979470535498],[-0.2959636957737474],[0.14667299526980127],[-0.6713473327319388],[0.17499423401802874],[-0.4704644121264781],[0.1131214797511965],[-0.4384990433019782],[0.036694332723184106],[0.027884593739209564],[0.029742992863265275],"[[-0.4384990433019782], [0.036694332723184106], [0.027884593739209564], [0.029742992863265275]]","[0.15890990383023249, -0.35788331434625664, -0.002138706027656945, -0.5885979470535498]",[-0.5833346214259139],[-0.27937954],"[[-1.7647036909740912, -4.1251440068053423e-07, -0.030046135598094475, 0.33039907625890325], [0.15604157042175065, 3.712015437010638e-08, 0.0026345191791218234, -0.02944811451417064], [0.17882996439638515, 4.699421650804875e-08, 0.0028562763489039943, -0.03535662326919015], [0.16668571167143126, 4.391683216762579e-08, 0.002651953879142576, -0.032876217552384]]"
5,"[[-0.462551530551981, -0.0, -0.014016713047029727, -0.0], [0.035119860282087655, 0.0, 0.0010642381903662925, 0.0], [-0.0, -0.0, -0.0, -0.0], [0.020440630148590645, 0.0, 0.0006194130348057772, 0.0]]",[-0.09463774071371037],[-0.3132226545649682],[0.09825019176363899],[-0.6992630003689546],[0.16785833891935825],[-0.49083552418887466],[-0.0],[-0.462551530551981],[0.035119860282087655],[-0.0],[0.020440630148590645],"[[-0.462551530551981], [0.035119860282087655], [-0.0], [0.020440630148590645]]","[0.16136915769217386, -0.3697444014997678, -0.008311606128555145, -0.09463774071371037]",[-0.5885979470535498],[-0.2959637],"[[-2.227255221526072, -4.1251440068053423e-07, -0.044062848645124206, 0.33039907625890325], [0.19116143070383831, 3.712015437010638e-08, 0.003698757369488116, -0.02944811451417064], [0.17882996439638515, 4.699421650804875e-08, 0.0028562763489039943, -0.03535662326919015], [0.1871263418200219, 4.391683216762579e-08, 0.003271366913948353, -0.032876217552384]]"
