0,1,2,3
164,0,2016-05-14,455.67099
165,0,2016-05-15,457.567993
166,0,2016-05-16,454.162994
167,0,2016-05-17,453.78299
168,0,2016-05-18,454.618988
169,0,2016-05-19,438.714996
170,0,2016-05-20,442.675995
171,0,2016-05-21,443.187988
172,0,2016-05-22,439.322998
173,0,2016-05-23,444.154999
174,0,2016-05-24,445.980988
175,0,2016-05-25,449.598999
176,0,2016-05-26,453.384003
177,0,2016-05-27,473.463989
178,0,2016-05-28,530.039978
179,0,2016-05-29,526.232971
180,0,2016-05-30,533.864014
181,0,2016-05-31,531.385986
182,0,2016-06-01,536.919983
183,0,2016-06-02,537.971985
184,0,2016-06-03,569.19397
185,0,2016-06-04,572.72699
186,0,2016-06-05,574.97699
187,0,2016-06-06,585.536987
188,0,2016-06-07,576.596985
189,0,2016-06-08,581.64502
190,0,2016-06-09,574.630005
191,0,2016-06-10,577.469971
192,0,2016-06-11,606.72699
193,0,2016-06-12,672.783997
194,0,2016-06-13,704.375977
195,0,2016-06-14,685.559021
196,0,2016-06-15,694.468994
197,0,2016-06-16,766.307983
198,0,2016-06-17,748.908997
199,0,2016-06-18,756.22699
200,0,2016-06-19,763.781006
201,0,2016-06-20,737.226013
202,0,2016-06-21,666.651978
203,0,2016-06-22,596.116028
204,0,2016-06-23,623.97699
205,0,2016-06-24,665.299011
206,0,2016-06-25,665.122986
207,0,2016-06-26,629.367004
208,0,2016-06-27,655.275024
209,0,2016-06-28,647.000977
210,0,2016-06-29,639.890015
211,0,2016-06-30,673.336975
212,0,2016-07-01,676.296021
213,0,2016-07-02,703.702026
214,0,2016-07-03,658.664001
215,0,2016-07-04,683.661987
216,0,2016-07-05,670.627014
217,0,2016-07-06,677.330994
218,0,2016-07-07,640.562012
219,0,2016-07-08,666.52301
220,0,2016-07-09,650.960022
221,0,2016-07-10,649.359985
222,0,2016-07-11,647.658997
223,0,2016-07-12,664.551025
224,0,2016-07-13,654.468018
225,0,2016-07-14,658.078003
226,0,2016-07-15,663.255005
227,0,2016-07-16,660.767029
228,0,2016-07-17,679.458984
229,0,2016-07-18,673.106018
230,0,2016-07-19,672.864014
231,0,2016-07-20,665.684998
232,0,2016-07-21,665.012024
233,0,2016-07-22,650.619019
234,0,2016-07-23,655.55603
235,0,2016-07-24,661.284973
236,0,2016-07-25,654.096985
237,0,2016-07-26,651.783997
238,0,2016-07-27,654.35199
239,0,2016-07-28,655.034973
240,0,2016-07-29,656.992004
241,0,2016-07-30,655.046997
242,0,2016-07-31,624.68103
243,0,2016-08-01,606.271973
244,0,2016-08-02,547.465027
245,0,2016-08-03,566.35498
246,0,2016-08-04,578.289001
247,0,2016-08-05,575.04303
248,0,2016-08-06,587.778015
249,0,2016-08-07,592.690002
250,0,2016-08-08,591.054016
251,0,2016-08-09,587.801025
252,0,2016-08-10,592.103027
253,0,2016-08-11,589.119995
254,0,2016-08-12,587.559021
255,0,2016-08-13,585.588013
256,0,2016-08-14,570.473022
257,0,2016-08-15,567.23999
258,0,2016-08-16,577.439026
259,0,2016-08-17,573.216003
260,0,2016-08-18,574.317993
261,0,2016-08-19,575.630005
262,0,2016-08-20,581.697021
263,0,2016-08-21,581.307983
264,0,2016-08-22,586.752991
265,0,2016-08-23,583.414978
266,0,2016-08-24,580.182007
267,0,2016-08-25,577.760986
268,0,2016-08-26,579.651001
269,0,2016-08-27,569.947021
270,0,2016-08-28,573.911987
271,0,2016-08-29,574.106995
272,0,2016-08-30,577.502991
273,0,2016-08-31,575.471985
274,0,2016-09-01,572.302979
275,0,2016-09-02,575.536987
276,0,2016-09-03,598.211975
277,0,2016-09-04,608.633972
278,0,2016-09-05,606.590027
279,0,2016-09-06,610.435974
280,0,2016-09-07,614.544006
281,0,2016-09-08,626.315979
282,0,2016-09-09,622.861023
283,0,2016-09-10,623.508972
284,0,2016-09-11,606.718994
285,0,2016-09-12,608.242981
286,0,2016-09-13,609.241028
287,0,2016-09-14,610.684021
288,0,2016-09-15,607.155029
289,0,2016-09-16,606.973022
290,0,2016-09-17,605.984009
291,0,2016-09-18,609.874023
292,0,2016-09-19,609.22699
293,0,2016-09-20,608.312012
294,0,2016-09-21,597.148987
295,0,2016-09-22,596.297974
296,0,2016-09-23,602.84198
297,0,2016-09-24,602.625
298,0,2016-09-25,600.825989
299,0,2016-09-26,608.04303
300,0,2016-09-27,606.166016
301,0,2016-09-28,604.728027
302,0,2016-09-29,605.692993
303,0,2016-09-30,609.734985
304,0,2016-10-01,613.982971
305,0,2016-10-02,610.892029
306,0,2016-10-03,612.132996
307,0,2016-10-04,610.203979
308,0,2016-10-05,612.510986
309,0,2016-10-06,613.020996
310,0,2016-10-07,617.120972
311,0,2016-10-08,619.107971
312,0,2016-10-09,616.752014
313,0,2016-10-10,618.994019
314,0,2016-10-11,641.072021
315,0,2016-10-12,636.192017
316,0,2016-10-13,636.786011
317,0,2016-10-14,640.377991
318,0,2016-10-15,638.645996
319,0,2016-10-16,641.630981
320,0,2016-10-17,639.192993
321,0,2016-10-18,637.960022
322,0,2016-10-19,630.52002
323,0,2016-10-20,630.856995
324,0,2016-10-21,632.828003
325,0,2016-10-22,657.294006
326,0,2016-10-23,657.070984
327,0,2016-10-24,653.760986
328,0,2016-10-25,657.588013
329,0,2016-10-26,678.304016
330,0,2016-10-27,688.312988
331,0,2016-10-28,689.651001
332,0,2016-10-29,714.479004
333,0,2016-10-30,701.864014
334,0,2016-10-31,700.971985
335,0,2016-11-01,729.79303
336,0,2016-11-02,740.828979
337,0,2016-11-03,688.700012
338,0,2016-11-04,703.234985
339,0,2016-11-05,703.41803
340,0,2016-11-06,711.521973
341,0,2016-11-07,703.130981
342,0,2016-11-08,709.848022
343,0,2016-11-09,723.27301
344,0,2016-11-10,715.533997
345,0,2016-11-11,716.411011
346,0,2016-11-12,705.054016
347,0,2016-11-13,702.031006
348,0,2016-11-14,705.020996
349,0,2016-11-15,711.619019
350,0,2016-11-16,744.197998
351,0,2016-11-17,740.97699
352,0,2016-11-18,751.585022
353,0,2016-11-19,751.616028
354,0,2016-11-20,731.026001
355,0,2016-11-21,739.247986
356,0,2016-11-22,751.346985
357,0,2016-11-23,744.593994
358,0,2016-11-24,740.289001
359,0,2016-11-25,741.648987
360,0,2016-11-26,735.382019
361,0,2016-11-27,732.034973
362,0,2016-11-28,735.812988
363,0,2016-11-29,735.604004
364,0,2016-11-30,745.690979
365,0,2016-12-01,756.773987
366,0,2016-12-02,777.94397
367,0,2016-12-03,771.155029
368,0,2016-12-04,773.872009
369,0,2016-12-05,758.700012
370,0,2016-12-06,764.223999
371,0,2016-12-07,768.132019
372,0,2016-12-08,770.809998
373,0,2016-12-09,772.794006
374,0,2016-12-10,774.650024
375,0,2016-12-11,769.731018
376,0,2016-12-12,780.086975
377,0,2016-12-13,780.55603
378,0,2016-12-14,781.481018
379,0,2016-12-15,778.088013
380,0,2016-12-16,784.906982
381,0,2016-12-17,790.828979
382,0,2016-12-18,790.530029
383,0,2016-12-19,792.713989
384,0,2016-12-20,800.875977
385,0,2016-12-21,834.281006
386,0,2016-12-22,864.539978
387,0,2016-12-23,921.984009
388,0,2016-12-24,898.822021
389,0,2016-12-25,896.182983
390,0,2016-12-26,907.609985
391,0,2016-12-27,933.197998
392,0,2016-12-28,975.921021
393,0,2016-12-29,973.497009
394,0,2016-12-30,961.237976
395,0,2016-12-31,963.742981
396,0,2017-01-01,998.325012
397,0,2017-01-02,1021.75
398,0,2017-01-03,1043.839966
399,0,2017-01-04,1154.72998
400,0,2017-01-05,1013.380005
401,0,2017-01-06,902.200989
402,0,2017-01-07,908.585022
403,0,2017-01-08,911.198975
404,0,2017-01-09,902.828003
405,0,2017-01-10,907.679016
406,0,2017-01-11,777.757019
407,0,2017-01-12,804.833984
408,0,2017-01-13,823.984009
409,0,2017-01-14,818.411987
410,0,2017-01-15,821.797974
411,0,2017-01-16,831.533997
412,0,2017-01-17,907.937988
